#Element	Photosphere	Meteorites
H	12.00	0.00	8.22	0.04	
He	10.93	0.01	1.29	0.00
Li	1.05	0.10	3.26	0.05	
Be	1.38	0.09	1.30	0.03	
B	2.70	0.20	2.79	0.04	
C	8.43	0.05	7.39	0.04	
N	7.83	0.05	6.26	0.06	
O	8.69	0.05	8.40	0.04	
F	4.56	0.30	4.42	0.06	
Ne	7.93	0.10	-1.12	0.00
Na	6.24	0.04	6.27	0.02	
Mg	7.60	0.04	7.53	0.01	
Al	6.45	0.03	6.43	0.01	
Si	7.51	0.03	7.51	0.01	
P	5.41	0.03	5.43   0.04	
S	7.12	0.03	7.15   0.02	
Cl	5.50	0.30	5.23   0.06	
Ar	6.40	0.13	-0.50  0.00
K	5.03	0.09	5.08   0.02	
Ca	6.34	0.04	6.29   0.02	
Sc	3.15	0.04	3.05   0.02	
Ti	4.95	0.05	4.91   0.03	
V	3.93	0.08	3.96   0.02	
Cr	5.64	0.04	5.64   0.01	
Mn	5.43	0.04	5.48   0.01	
Fe	7.50	0.04	7.45   0.01	
Co	4.99	0.07	4.87   0.01	
Ni	6.22	0.04	6.20   0.01	
Cu	4.19	0.04	4.25   0.04	
Zn	4.56	0.05	4.63   0.04	
Ga	3.04	0.09	3.08   0.02	
Ge	3.65	0.10	3.58   0.04	
As	0.00	0.00	2.30   0.04	
Se	0.00	0.00	3.34   0.03	
Br	0.00	0.00	2.54   0.06	
Kr	3.25	0.06	-2.27   0.00
Rb	2.52	0.10	2.36   0.03	
Sr	2.87	0.07	2.88   0.03	
Y	2.21	0.05	2.17   0.04	
Zr	2.58	0.04	2.53   0.04	
Nb	1.46	0.04	1.41   0.04	
Mo	1.88	0.08	1.94   0.04	 	 	 	 
Ru	1.75	0.08	1.76   0.03
Rh	0.91	0.10	1.06   0.04
Pd	1.57	0.10	1.65   0.02
Ag	0.94	0.10	1.20   0.02
Cd	0.00	0.00	1.71   0.03
In	0.80	0.20	0.76   0.03
Sn	2.04	0.10	2.07   0.06
Sb	0.00	0.00	1.01   0.06
Te	0.00	0.00	2.18   0.03
I	0.00	0.00	1.55   0.08
Xe	2.24	0.06	-1.95  0.00
Cs	0.00	0.00	1.08   0.02
Ba	2.18	0.09	2.18   0.03
La	1.10	0.04	1.17   0.02
Ce	1.58	0.04	1.58   0.02
Pr	0.72	0.04	0.76   0.03
Nd	1.42	0.04	1.45   0.02
Sm	0.96	0.04	0.94   0.02
Eu	0.52	0.04	0.51   0.02
Gd	1.07	0.04	1.05   0.02
Tb	0.30	0.10	0.32   0.03
Dy	1.10	0.04	1.13   0.02
Ho	0.48	0.11	0.47   0.03
Er	0.92	0.05	0.92   0.02
Tm	0.10	0.04	0.12   0.03
Yb	0.84	0.11	0.92   0.02
Lu	0.10	0.09	0.09   0.02
Hf	0.85	0.04	0.71   0.02
Ta	0.00	0.00	-0.12   0.04
W	0.85	0.12	0.65   0.04
Re	0.00	0.00	0.26   0.04
Os	1.40	0.08	1.35   0.03
Ir	1.38	0.07	1.32   0.02
Pt	0.00	0.00	1.62   0.03
Au	0.92	0.10	0.80   0.04
Hg	0.00	0.00	1.17   0.08
Tl	0.90	0.20	0.77   0.03
Pb	1.75	0.10	2.04   0.03
Bi	0.00	0.00	0.65   0.04
Th	0.02	0.10	0.06   0.03
U	0.00	0.00	-0.54   0.03
