#
# line_tag	ion   wavelength  f	    gamma      mass

HI_1           HI     1215.6700   4.164E-01  6.265E+08  1.008
HI_2           HI     1025.7222   7.914E-02  1.673E+08  1.008
HI_3           HI      972.5367   2.901E-02  6.819E+07  1.008
HI_4           HI      949.7430   1.395E-02  3.437E+07  1.008
HI_5           HI      937.8034   7.803E-03  1.973E+07  1.008
HI_6           HI      930.7482   4.816E-03  1.236E+07  1.008
HI_7           HI      926.2256   3.185E-03  8.255E+06  1.008
HI_8           HI      923.1503   2.217E-03  5.785E+06  1.008
HI_9           HI      920.9630   1.606E-03  4.210E+06  1.008
HI_10          HI      919.3513   1.201E-03  3.160E+06  1.008
HI_11          HI      918.1293   9.219E-04  2.432E+06  1.008
HI_12          HI      917.1805   7.231E-04  1.911E+06  1.008
HI_13          HI      916.4291   5.777E-04  1.529E+06  1.008
HI_14          HI      915.8238   4.689E-04  1.243E+06  1.008
HI_15          HI      915.3289   3.858E-04  1.024E+06  1.008
HI_16          HI      914.9192   3.212E-04  8.533E+05  1.008
HI_17          HI      914.5762   2.703E-04  7.186E+05  1.008
HI_18          HI      914.2861   2.297E-04  6.109E+05  1.008
HI_19          HI      914.0385   1.968E-04  5.237E+05  1.008
HI_20          HI      913.8256   1.699E-04  4.523E+05  1.008
HI_21          HI      913.6411   1.477E-04  3.933E+05  1.008
HI_22          HI      913.4803   1.293E-04  3.444E+05  1.008
HI_23          HI      913.3391   1.137E-04  3.031E+05  1.008
HI_24          HI      913.2146   1.006E-04  2.681E+05  1.008
HI_25          HI      913.1042   8.936E-05  2.383E+05  1.008
HI_26          HI      913.0059   7.978E-05  2.128E+05  1.008
HI_27          HI      912.9179   7.148E-05  1.907E+05  1.008
HI_28          HI      912.8389   6.435E-05  1.717E+05  1.008
HI_29          HI      912.7676   5.812E-05  1.551E+05  1.008
HI_30          HI      912.7032   5.264E-05  1.405E+05  1.008

DI_1           DI     1215.3394   4.165E-01  6.270E+08  1.008
DI_2           DI     1025.4432   7.916E-02  1.674E+08  1.008
DI_3           DI      972.2722   2.901E-02  6.824E+07  1.008
DI_4           DI      949.4846   1.395E-02  3.440E+07  1.008
DI_5           DI      937.5483   7.805E-03  1.974E+07  1.008
DI_6           DI      930.4950   4.818E-03  1.237E+07  1.008
DI_7           DI      925.9737   3.186E-03  8.261E+06  1.008
DI_8           DI      922.8992   2.218E-03  5.789E+06  1.008
DI_9           DI      920.7125   1.607E-03  4.214E+06  1.008
DI_10          DI      919.1013   1.201E-03  3.162E+06  1.008
DI_11          DI      917.8796   9.222E-04  2.434E+06  1.008
DI_12          DI      916.9310   7.233E-04  1.913E+06  1.008
DI_13          DI      916.1798   5.778E-04  1.531E+06  1.008
DI_14          DI      915.5746   4.690E-04  1.244E+06  1.008
DI_15          DI      915.0799   3.859E-04  1.025E+06  1.008
DI_16          DI      914.6704   3.213E-04  8.540E+05  1.008
DI_17          DI      914.3274   2.704E-04  7.192E+05  1.008
DI_18          DI      914.0374   2.297E-04  6.114E+05  1.008
DI_19          DI      913.7899   1.968E-04  5.241E+05  1.008

FeIIIe_570     FeIIIe  570.5977  0.00064726  1.169e+09  55.845
FeIIIe_571     FeIIIe  571.5378  0.00160635  1.231e+09  55.845
FeIIIi_573     FeIIIi  573.9820  0.00090061  1.163e+09  55.845
FeIIIe_574     FeIIIe  574.1068  0.00050898  1.381e+09  55.845
FeIIIi_574     FeIIIi  574.8077  0.00072323  1.169e+09  55.845
FeIIIe_575     FeIIIe  575.2900  0.00014588  1.636e+09  55.845
FeIIIi_575     FeIIIi  575.7617  0.00087804  1.231e+09  55.845
FeIIIj_576     FeIIIj  576.5309  0.00276576  1.169e+09  55.845
FeIIIi_578     FeIIIi  578.3689  0.00024240  1.381e+09  55.845
FeIIIi_580     FeIIIi  580.8073  0.00021326  1.668e+09  55.845
FeIIIk_582     FeIIIk  582.1809  0.00060075  1.636e+09  55.845
FeIIIj_583     FeIIIj  583.6835  0.00027275  1.718e+09  55.845
FeIIIl_584     FeIIIl  584.2402  0.00049713  1.668e+09  55.845
FeIIIm_585     FeIIIm  585.9030  0.00043541  1.718e+09  55.845
FeIIIk_586     FeIIIk  586.7036  0.00054188  9.667e+08  55.845
FeIIIl_589     FeIIIl  589.2793  0.00054144  1.001e+09  55.845
FeIIIm_590     FeIIIm  590.5454  0.00052286  9.765e+08  55.845
FeIIIo_594     FeIIIo  594.2172  0.00010952  1.636e+09  55.845
FeIIIn_597     FeIIIn  597.5599  0.00110818  9.667e+08  55.845
FeIIIo_600     FeIIIo  600.7547  0.00104791  1.001e+09  55.845
FeIIIp_602     FeIIIp  602.2292  0.00109915  9.765e+08  55.845
FeIIIe_603     FeIIIe  603.5459  0.00279838  2.273e+09  55.845
FeIIIi_608     FeIIIi  608.2581  0.00291768  2.273e+09  55.845
FeIIIv_610     FeIIIv  610.0790  0.00227424  1.848e+09  55.845
FeIIIj_610     FeIIIj  610.1880  0.00293064  2.273e+09  55.845
FeIIIx_613     FeIIIx  613.0517  0.00028230  1.610e+09  55.845
FeIIIs_615     FeIIIs  615.3320  0.00066281  1.636e+09  55.845
FeIIIu_615     FeIIIu  615.8687  0.00265564  1.636e+09  55.845
FeIIIs_616     FeIIIs  616.7273  0.00191603  1.668e+09  55.845
FeIIIt_616     FeIIIt  616.7640  0.00096003  1.668e+09  55.845
FeIIIu_617     FeIIIu  617.2665  0.00035132  1.668e+09  55.845
FeIIIl_617     FeIIIl  617.4036  0.00102870  1.327e+09  55.845
FeIIIk_617     FeIIIk  617.6346  0.00370544  1.626e+09  55.845
FeIIIs_617     FeIIIs  617.9790  0.00045691  1.718e+09  55.845
FeIIIm_618     FeIIIm  618.0038  0.00016090  1.327e+09  55.845
FeIIIt_618     FeIIIt  618.0159  0.00219318  1.718e+09  55.845
FeIIIl_618     FeIIIl  618.5430  0.00052026  1.626e+09  55.845
FeIIIu_620     FeIIIu  620.9323  0.00012932  9.667e+08  55.845
FeIIIl_621     FeIIIl  621.1716  0.00249993  1.465e+09  55.845
FeIIIm_621     FeIIIm  621.7654  0.00354716  1.563e+09  55.845
FeIIIm_621.7   FeIIIm  621.7793  0.00057789  1.465e+09  55.845
FeIIIu_622     FeIIIu  622.8941  0.00023268  1.001e+09  55.845
FeIIIs_623     FeIIIs  623.1459  0.00018222  9.765e+08  55.845
FeIIIe_625     FeIIIe  625.4459  0.00012316  1.586e+09  55.845
FeIIIx_630     FeIIIx  630.6453  0.00015324  1.231e+09  55.845
FeIIIo_631     FeIIIo  631.1986  0.00011011  1.626e+09  55.845
FeIIIi_632     FeIIIi  632.2382  0.00017439  1.583e+09  55.845
FeIIIx_633     FeIIIx  633.7746  0.00066243  1.381e+09  55.845
FeIIIj_634     FeIIIj  634.3235  0.00027508  1.583e+09  55.845
FeIIIs_653     FeIIIs  653.7983  0.00027877  1.327e+09  55.845
FeIIIs_655     FeIIIs  655.0761  0.00010899  1.626e+09  55.845
FeIIIu_655     FeIIIu  655.6845  0.00060460  1.626e+09  55.845
FeIIIs_658     FeIIIs  658.0097  0.00022590  1.563e+09  55.845
FeIIIs_658.0   FeIIIs  658.0252  0.00018761  1.465e+09  55.845
FeIIIt_658     FeIIIt  658.0515  0.00056937  1.563e+09  55.845
FeIIIu_658     FeIIIu  658.6391  0.00024761  1.465e+09  55.845
FeIIIx_664     FeIIIx  664.3539  0.00056776  2.484e+09  55.845
FeIIIh_667     FeIIIh  667.4315  0.00014441  2.096e+09  55.845
FeIIIf_672     FeIIIf  672.3663  0.00010495  1.446e+09  55.845
FeIIIs_673     FeIIIs  673.0633  0.00332801  1.586e+09  55.845
FeIIIt_673     FeIIIt  673.1070  0.00043587  1.586e+09  55.845
FeIIIg_673     FeIIIg  673.4951  0.00020198  1.446e+09  55.845
FeIIIu_673     FeIIIu  673.7055  0.01108214  1.586e+09  55.845
FeIIIs_675     FeIIIs  675.0356  0.00848499  1.583e+09  55.845
FeIIIt_675     FeIIIt  675.0796  0.00548658  1.583e+09  55.845
FeIIIt_675.8   FeIIIt  675.8747  0.00673457  1.563e+09  55.845
