# Atomic data from Jitrik & Bunge (2004)
# Damping constants calculated by J.-K. Krogager
# Generated:  2021-07-21 22:19:15.558941
# --------------------------------------------------------------------
# line-ID        ion         wl_cen     f_ij        gamma      mass
#                            Angstrom               s^-1       m_u
# --------------------------------------------------------------------
HI_1215          HI         1215.6696  4.16e-01  6.265e+08  1.008
HI_1025          HI         1025.7201  7.91e-02  1.897e+08  1.008
HI_972           HI          972.5345  2.90e-02  8.127e+07  1.008
HI_949           HI          949.7407  1.39e-02  4.204e+07  1.008
HI_937           HI          937.8011  7.80e-03  2.450e+07  1.008
HI_930           HI          930.7459  4.81e-03  1.551e+07  1.008
HI_926           HI          926.2233  3.18e-03  1.043e+07  1.008
HI_923           HI          923.1480  2.22e-03  7.344e+06  1.008
HI_920           HI          920.9607  1.61e-03  5.365e+06  1.008
HI_919           HI          919.3491  1.20e-03  4.038e+06  1.008
HI_918           HI          918.1270  9.21e-04  3.115e+06  1.008
HI_917           HI          917.1782  7.23e-04  2.453e+06  1.008
HI_916           HI          916.4268  5.77e-04  1.966e+06  1.008
HI_915.8         HI          915.8215  4.69e-04  1.600e+06  1.008
HI_915.3         HI          915.3267  3.86e-04  1.319e+06  1.008
HI_914.9         HI          914.9170  3.21e-04  1.100e+06  1.008
HI_914.5         HI          914.5739  2.70e-04  9.275e+05  1.008
HI_914.2         HI          914.2838  2.30e-04  7.890e+05  1.008
HI_914.0         HI          914.0363  1.97e-04  6.767e+05  1.008
HI_913.8         HI          913.8233  1.70e-04  5.848e+05  1.008
HI_913.6         HI          913.6389  1.48e-04  5.088e+05  1.008
HI_913.4         HI          913.4780  1.29e-04  4.454e+05  1.008
HI_913.3         HI          913.3368  1.14e-04  3.921e+05  1.008
HI_913.2         HI          913.2123  1.00e-04  3.470e+05  1.008
HI_1             HI         1215.6696  4.16e-01  6.265e+08  1.008
HI_2             HI         1025.7201  7.91e-02  1.897e+08  1.008
HI_3             HI          972.5345  2.90e-02  8.127e+07  1.008
HI_4             HI          949.7407  1.39e-02  4.204e+07  1.008
HI_5             HI          937.8011  7.80e-03  2.450e+07  1.008
HI_6             HI          930.7459  4.81e-03  1.551e+07  1.008
HI_7             HI          926.2233  3.18e-03  1.043e+07  1.008
HI_8             HI          923.1480  2.22e-03  7.344e+06  1.008
HI_9             HI          920.9607  1.61e-03  5.365e+06  1.008
HI_10            HI          919.3491  1.20e-03  4.038e+06  1.008
HI_11            HI          918.1270  9.21e-04  3.115e+06  1.008
HI_12            HI          917.1782  7.23e-04  2.453e+06  1.008
HI_13            HI          916.4268  5.77e-04  1.966e+06  1.008
HI_14            HI          915.8215  4.69e-04  1.600e+06  1.008
HI_15            HI          915.3267  3.86e-04  1.319e+06  1.008
HI_16            HI          914.9170  3.21e-04  1.100e+06  1.008
HI_17            HI          914.5739  2.70e-04  9.275e+05  1.008
HI_18            HI          914.2838  2.30e-04  7.890e+05  1.008
HI_19            HI          914.0363  1.97e-04  6.767e+05  1.008
HI_20            HI          913.8233  1.70e-04  5.848e+05  1.008
HI_21            HI          913.6389  1.48e-04  5.088e+05  1.008
HI_22            HI          913.4780  1.29e-04  4.454e+05  1.008
HI_23            HI          913.3368  1.14e-04  3.921e+05  1.008
# Deuterium:
DI_1             DI         1215.3394  4.16e-01  6.265e+08  2.014
DI_2             DI         1025.4433  7.91e-02  1.897e+08  2.014
DI_3             DI          972.2722  2.90e-02  8.127e+07  2.014
DI_4             DI          949.4847  1.40e-02  4.204e+07  2.014
DI_5             DI          937.5484  7.81e-03  2.450e+07  2.014
DI_6             DI          930.4951  4.82e-03  1.551e+07  2.014
DI_7             DI          925.9737  3.18e-03  1.043e+07  2.014
DI_8             DI          922.8990  2.22e-03  7.344e+06  2.014
DI_9             DI          920.7120  1.61e-03  5.365e+06  2.014
DI_10            DI          919.1020  1.20e-03  4.038e+06  2.014
DI_11            DI          917.8790  9.21e-04  3.115e+06  2.014
DI_12            DI          916.9310  7.23e-04  2.453e+06  2.014
DI_13            DI          916.1790  5.77e-04  1.966e+06  2.014
DI_14            DI          915.5750  4.69e-04  1.600e+06  2.014
DI_15            DI          915.0800  3.86e-04  1.319e+06  2.014

# Atomic data file compiled from VALD3
# http://vald.astro.uu.se
# Generated:  2021-07-21 22:19:15.561407
# --------------------------------------------------------------------
# line-ID        ion         wl_cen     f_ij        gamma      mass
#                            Angstrom               s^-1       m_u
# --------------------------------------------------------------------
CrIII_912        CrIII       912.6621  9.02e-04  6.310e+08  49.946
NII_915          NII         915.6120  1.59e-01  1.148e+09  14.007
CrIII_918        CrIII       918.5792  6.14e-03  5.623e+08  49.946
FeII_921         FeII        921.5006  4.13e-04  3.631e+08  55.847
CrIII_923        CrIII       923.7891  8.41e-02  1.549e+09  49.946
FeII_923         FeII        923.8782  3.17e-03  3.715e+08  55.847
FeII_926         FeII        926.2120  4.02e-02  3.467e+08  55.847
FeII_926.9       FeII        926.8969  4.28e-03  4.365e+08  55.847
FeII_928         FeII        928.3251  3.28e-04  2.239e+08  55.847
SI_928           SI          928.9795  4.00e-03  3.715e+07  32.067
SI_929.0         SI          928.9795  3.87e-03  1.288e+08  32.067
SI_928.98        SI          928.9795  2.55e-03  5.129e+07  32.067
SI_928.980       SI          928.9795  1.42e-03  1.318e+07  32.067
SI_928.9795      SI          928.9795  1.82e-04  9.120e+07  32.067
SI_929           SI          929.5063  4.11e-03  4.898e+07  32.067
SI_929.5         SI          929.5063  2.73e-03  1.660e+08  32.067
SI_929.51        SI          929.5063  1.63e-03  7.413e+07  32.067
SI_929.506       SI          929.5063  1.46e-03  3.715e+07  32.067
CoIII_929        CoIII       929.9722  1.02e-02  9.120e+08  58.933
SI_930           SI          930.1201  3.21e-03  2.818e+07  32.067
SI_930.1         SI          930.1201  1.98e-03  1.514e+07  32.067
SI_930.12        SI          930.1201  1.70e-03  8.511e+07  32.067
SI_930.120       SI          930.1201  1.26e-03  4.571e+07  32.067
SI_931           SI          931.0900  5.38e-03  4.571e+07  32.067
SI_931.1         SI          931.0900  2.75e-03  1.905e+07  32.067
SI_931.09        SI          931.0900  2.23e-03  7.413e+07  32.067
SI_931.090       SI          931.0900  1.26e-03  4.898e+07  32.067
SI_932           SI          932.0794  6.25e-03  5.370e+07  32.067
SI_932.1         SI          932.0794  3.18e-03  2.188e+07  32.067
SI_932.08        SI          932.0794  2.18e-03  7.244e+07  32.067
FeII_932         FeII        932.6805  2.76e-04  5.370e+07  55.847
FeII_932.9       FeII        932.8610  4.41e-04  1.549e+08  55.847
NiII_933         NiII        933.3397  7.69e-03  3.890e+08  57.935
SI_933           SI          933.5325  1.24e-02  1.072e+08  32.067
SI_933.5         SI          933.5325  5.45e-03  1.778e+08  32.067
NiII_933.9       NiII        933.8619  2.70e-04  1.122e+08  57.935
FeII_934         FeII        934.2444  1.02e-04  2.239e+08  55.847
SI_935           SI          935.1912  9.84e-03  8.511e+07  32.067
FeII_935         FeII        935.5174  3.48e-03  3.311e+07  55.847
FeII_935.8       FeII        935.7722  7.85e-04  2.630e+08  55.847
CoIII_936        CoIII       936.6365  4.58e-02  9.120e+08  58.933
FeII_937.7       FeII        937.6513  2.22e-02  1.585e+08  55.847
FeII_937.9       FeII        937.8696  1.27e-04  2.188e+08  55.847
SI_937           SI          937.9631  1.72e-04  7.943e+07  32.067
FeII_938         FeII        938.0109  2.78e-03  1.698e+08  55.847
CoIII_939        CoIII       939.0606  8.85e-02  1.622e+09  58.933
FeII_939         FeII        939.1605  1.99e-03  2.884e+08  55.847
SI_940           SI          940.1147  1.44e-03  5.012e+07  32.067
SI_940.1         SI          940.1147  6.40e-04  9.333e+06  32.067
FeII_940         FeII        940.1921  1.44e-02  1.445e+08  55.847
SI_940.6         SI          940.6453  2.53e-02  2.291e+08  32.067
SI_940.65        SI          940.6453  1.38e-02  8.710e+07  32.067
SI_940.645       SI          940.6453  7.15e-03  2.291e+08  32.067
SI_941           SI          941.2119  1.02e-04  9.550e+07  32.067
SI_944           SI          944.4654  8.85e-04  1.318e+07  32.067
SI_944.5         SI          944.4654  7.82e-04  2.951e+07  32.067
NiII_944         NiII        944.6332  8.47e-04  1.122e+08  57.935
NiII_944.8       NiII        944.8397  5.74e-04  1.230e+08  57.935
CrII_944         CrII        944.9665  5.46e-04  1.820e+08  49.946
CI_945           CI          945.1910  1.52e-01  3.981e+09  12.011
CrII_945         CrII        945.4920  2.38e-04  3.890e+08  49.946
SI_945           SI          945.7159  3.94e-02  3.715e+08  32.067
SI_945.7         SI          945.7159  2.15e-02  1.318e+08  32.067
SI_945.72        SI          945.7159  1.26e-02  4.074e+08  32.067
CrII_946         CrII        946.2753  1.83e-04  3.311e+08  49.946
SI_946           SI          946.4320  6.40e-04  1.479e+08  32.067
CrII_946.9       CrII        946.8848  6.37e-03  3.981e+08  49.946
CrII_947         CrII        947.0114  5.22e-03  4.074e+08  49.946
CrII_947.2       CrII        947.1743  1.62e-03  2.630e+08  49.946
CrII_947.6       CrII        947.5783  1.04e-03  3.020e+08  49.946
CrII_947.8       CrII        947.7997  5.39e-04  3.981e+08  49.946
CrII_948         CrII        948.4218  6.02e-03  2.818e+08  49.946
CrII_948.6       CrII        948.5858  3.40e-03  2.692e+08  49.946
CrII_948.7       CrII        948.6881  4.84e-03  2.692e+08  49.946
CrII_949         CrII        949.8167  1.14e-04  2.630e+08  49.946
CrII_950         CrII        950.5099  1.19e-02  7.943e+08  49.946
CrII_950.6       CrII        950.5940  7.28e-03  5.370e+08  49.946
CrII_950.8       CrII        950.8101  2.68e-02  3.236e+08  49.946
CrII_951         CrII        951.2733  1.10e-03  2.570e+08  49.946
CoIII_952        CoIII       952.2966  5.90e-03  7.586e+08  58.933
SI_952           SI          952.3809  5.09e-03  5.888e+07  32.067
SI_952.4         SI          952.3809  1.55e-03  1.175e+08  32.067
CrII_953         CrII        953.5130  1.46e-04  1.230e+09  49.946
SI_953           SI          953.5616  6.08e-02  5.888e+08  32.067
SI_953.6         SI          953.5616  3.43e-02  2.042e+08  32.067
SI_953.56        SI          953.5616  1.67e-02  5.248e+08  32.067
SI_954           SI          954.7451  1.41e-03  2.344e+08  32.067
SI_954.7         SI          954.7451  2.44e-04  2.344e+08  32.067
NiII_955         NiII        955.5979  3.60e-04  1.288e+08  57.935
NiII_956         NiII        956.9083  1.61e-04  1.445e+08  57.935
PII_961          PII         961.0412  3.06e-01  6.761e+09  30.974
PII_963          PII         963.8005  2.08e+00  5.754e+09  30.974
SI_965           SI          965.2510  3.13e-02  3.236e+08  32.067
SI_965.3         SI          965.2510  1.35e-02  4.169e+08  32.067
CoIII_966        CoIII       966.1649  1.10e-03  6.761e+08  58.933
CoIII_967        CoIII       967.2396  1.07e-03  6.918e+08  58.933
SI_967           SI          967.3987  1.01e-01  9.772e+08  32.067
SI_967.4         SI          967.3987  5.93e-02  3.311e+08  32.067
SI_967.40        SI          967.3987  2.39e-02  7.244e+08  32.067
SI_969           SI          969.0861  9.40e-03  3.802e+08  32.067
SI_969.1         SI          969.0861  6.76e-04  3.802e+08  32.067
PII_972          PII         972.7791  1.44e-01  2.455e+09  30.974
ClIV_973         ClIV        973.2170  5.50e-01  4.677e+09  35.451
CIII_977         CIII        977.0200  7.59e-01  1.622e+09  12.011
OI_988           OI          988.5780  5.69e-04  2.512e+08  15.999
OI_988.7         OI          988.6550  8.45e-03  2.570e+08  15.999
OI_988.8         OI          988.7730  4.63e-02  2.570e+08  15.999
NIII_989         NIII        989.7900  1.23e-01  5.129e+08  14.007
SiII_989         SiII        989.8731  1.47e-01  7.762e+08  28.085
SI_990           SI          990.0990  6.61e-02  6.166e+08  32.067
SI_990.1         SI          990.0990  1.79e-02  5.129e+08  32.067
SI_994           SI          994.6290  1.13e-01  5.888e+08  32.067
SI_994.6         SI          994.6290  3.53e-02  3.467e+08  32.067
SI_994.63        SI          994.6290  1.72e-02  3.981e+08  32.067
SiI_995          SiI         995.7184  2.65e-03  5.012e+07  28.085
SI_997           SI          997.0090  2.29e-02  6.457e+08  32.067
SI_997.0         SI          997.0090  1.52e-03  6.607e+08  32.067
VIII_1004        VIII       1004.9393  7.16e-04  8.128e+08  49.947
VIII_1005        VIII       1005.6305  6.09e-04  8.128e+08  49.947
VIII_1008        VIII       1008.2525  8.71e-03  7.943e+08  49.947
VIII_1009        VIII       1009.3544  2.33e-02  7.762e+08  49.947
SIII_1012        SIII       1012.4980  1.48e-02  1.023e+09  32.067
FeII_1014        FeII       1014.2349  2.16e-04  2.455e+08  55.847
CoIII_1014       CoIII      1014.7514  1.20e-04  5.623e+08  58.933
CoII_1017        CoII       1017.5159  8.29e-04  2.570e+08  58.933
SiII_1020        SiII       1020.6989  1.89e-02  4.266e+08  28.085
CoII_1020        CoII       1020.7447  3.39e-03  1.202e+08  58.933
CoII_1023        CoII       1023.4886  1.37e-03  9.550e+07  58.933
SI_1025          SI         1025.3991  1.30e-04  1.514e+06  32.067
CoII_1025        CoII       1025.6787  2.51e-03  1.202e+08  58.933
OI_1025          OI         1025.7620  1.69e-02  6.166e+07  15.999
OI_1025.8        OI         1025.7630  3.01e-03  6.166e+07  15.999
OI_1025.76       OI         1025.7630  2.00e-04  6.166e+07  15.999
SI_1027          SI         1027.4641  2.34e-04  2.042e+06  32.067
SI_1028          SI         1028.0028  5.90e-03  3.162e+07  32.067
SI_1028.0        SI         1028.0028  6.18e-04  3.388e+07  32.067
SI_1029          SI         1029.9828  3.72e-04  2.884e+06  32.067
SI_1030.0        SI         1029.9828  1.14e-04  5.888e+06  32.067
CrIII_1030       CrIII      1030.1088  7.24e-02  8.511e+08  49.946
CoII_1030        CoII       1030.2604  8.55e-03  9.550e+07  58.933
SI_1030          SI         1030.8003  1.09e-02  5.623e+07  32.067
SI_1030.8        SI         1030.8003  1.34e-03  5.495e+07  32.067
CoII_1031        CoII       1031.5433  7.22e-04  6.607e+07  58.933
OVI_1031         OVI        1031.9120  1.33e-01  4.074e+08  15.999
CoII_1032        CoII       1032.1802  2.14e-04  7.413e+07  58.933
CrIII_1033       CrIII      1033.3411  6.64e-02  1.479e+09  49.946
SI_1033          SI         1033.9551  5.53e-04  4.074e+06  32.067
SI_1034.0        SI         1033.9551  1.69e-04  7.943e+06  32.067
SI_1034          SI         1034.6719  4.62e-03  9.550e+07  32.067
SI_1035          SI         1035.0038  1.78e-02  9.120e+07  32.067
SI_1035.0        SI         1035.0038  2.37e-03  8.511e+07  32.067
SI_1035.00       SI         1035.0038  1.38e-04  8.128e+07  32.067
CII_1036         CII        1036.3367  1.19e-01  2.291e+09  12.011
OVI_1037         OVI        1037.6130  6.61e-02  4.074e+08  15.999
SI_1038          SI         1038.2922  4.89e-03  3.802e+07  32.067
SI_1038.3        SI         1038.2922  2.15e-03  3.890e+07  32.067
CoII_1039        CoII       1039.1058  8.74e-04  6.026e+07  58.933
FeII_1039        FeII       1039.3096  1.05e-04  2.818e+08  55.847
SI_1039          SI         1039.4578  7.93e-04  5.754e+06  32.067
SI_1039.5        SI         1039.4578  2.00e-04  9.333e+06  32.067
CrIII_1040       CrIII      1040.0594  1.19e-01  8.913e+08  49.946
SI_1040          SI         1040.5936  7.73e-03  1.514e+08  32.067
SI_1041          SI         1041.6016  3.03e-02  1.514e+08  32.067
SI_1041.6        SI         1041.6016  4.45e-03  1.413e+08  32.067
SI_1041.60       SI         1041.6016  2.13e-04  1.660e+08  32.067
CoII_1041        CoII       1041.9209  8.64e-04  1.318e+08  58.933
SI_1045          SI         1045.7516  2.45e-03  2.089e+07  32.067
SI_1045.8        SI         1045.7516  1.28e-03  3.715e+07  32.067
SI_1048          SI         1048.7677  5.72e-04  9.120e+06  32.067
SI_1049          SI         1049.8026  1.22e-02  2.089e+08  32.067
SI_1050          SI         1050.3319  1.03e-02  3.090e+08  32.067
SI_1050.4        SI         1050.4422  3.71e-02  3.162e+08  32.067
SI_1051          SI         1051.5247  6.40e-02  3.020e+08  32.067
SI_1051.5        SI         1051.5247  9.38e-03  2.951e+08  32.067
SI_1051.52       SI         1051.5247  5.26e-04  2.951e+08  32.067
FeII_1055        FeII       1055.2618  6.15e-03  1.122e+08  55.847
CrII_1058        CrII       1058.7324  1.69e-03  1.622e+08  49.946
SI_1059          SI         1059.1650  3.68e-02  2.818e+08  32.067
SI_1059.5        SI         1059.5353  1.18e-02  2.818e+08  32.067
SI_1059.54       SI         1059.5353  4.58e-03  7.762e+07  32.067
CrII_1060        CrII       1060.8280  7.39e-04  1.380e+08  49.946
SI_1061          SI         1061.7966  8.95e-02  3.981e+08  32.067
SI_1061.8        SI         1061.7966  1.22e-02  4.365e+08  32.067
SI_1061.80       SI         1061.7966  1.53e-03  5.888e+08  32.067
FeII_1062        FeII       1062.1531  2.91e-03  4.467e+08  55.847
CrII_1062        CrII       1062.1977  6.22e-04  1.862e+08  49.946
SIV_1062         SIV        1062.6780  4.07e-02  1.445e+08  32.067
CrII_1062.7      CrII       1062.7204  5.56e-04  1.072e+08  49.946
FeII_1064.0      FeII       1063.9718  4.75e-03  4.365e+08  55.847
SI_1064          SI         1064.0109  7.19e-02  3.162e+08  32.067
SI_1064.0        SI         1064.0109  1.09e-02  2.455e+08  32.067
SI_1064.01       SI         1064.0109  6.05e-04  2.138e+08  32.067
CrII_1064        CrII       1064.1238  7.98e-03  1.072e+08  49.946
CrII_1064.2      CrII       1064.2096  5.89e-04  3.388e+07  49.946
SI_1065          SI         1065.3031  4.82e-03  1.259e+08  32.067
SI_1065.8        SI         1065.8254  1.73e-02  3.162e+08  32.067
CrII_1066.4      CrII       1066.4380  7.28e-04  2.188e+08  49.946
CrII_1066.8      CrII       1066.7759  5.21e-03  8.128e+07  49.946
CrII_1068        CrII       1068.6679  1.36e-04  3.981e+07  49.946
SI_1070          SI         1070.5492  1.60e-02  8.511e+07  32.067
SI_1070.5        SI         1070.5492  5.52e-03  7.413e+07  32.067
SI_1070.55       SI         1070.5492  6.65e-04  7.079e+07  32.067
CrII_1079        CrII       1079.2926  2.24e-03  4.571e+08  49.946
FeII_1081        FeII       1081.8753  1.26e-02  1.000e+08  55.847
FeII_1081.9      FeII       1081.9353  1.17e-04  4.074e+08  55.847
CrII_1082        CrII       1082.0411  1.65e-03  4.571e+08  49.946
SiI_1083         SiI        1083.0716  9.18e-03  1.585e+08  28.085
FeII_1083        FeII       1083.4205  2.80e-03  1.047e+08  55.847
NII_1083         NII        1083.9900  1.11e-01  3.548e+08  14.007
CrII_1084        CrII       1084.1830  1.06e-03  4.467e+08  49.946
FeII_1084        FeII       1084.9939  1.78e-04  1.479e+08  55.847
FeII_1085        FeII       1085.1383  1.27e-04  1.122e+08  55.847
CaII_1089        CaII       1089.1240  1.19e-04  9.333e+05  39.963
SI_1093          SI         1093.0634  8.65e-03  1.622e+08  32.067
SI_1094          SI         1094.3314  1.59e-02  7.413e+07  32.067
SI_1094.3        SI         1094.3314  3.78e-03  7.762e+07  32.067
SI_1094.33       SI         1094.3314  2.83e-04  7.762e+07  32.067
SI_1095          SI         1095.5782  1.83e-03  2.239e+08  32.067
SI_1096          SI         1096.6115  2.91e-02  4.898e+08  32.067
FeII_1096        FeII       1096.8769  3.27e-02  5.012e+08  55.847
CaII_1099        CaII       1099.3952  2.12e-04  1.259e+06  39.963
CaII_1099.6      CaII       1099.5523  1.06e-04  1.230e+06  39.963
VII_1102         VII        1102.9194  1.45e-03  3.311e+08  49.947
VII_1104         VII        1104.3324  6.05e-04  3.715e+08  49.947
SI_1106          SI         1106.1947  1.26e-01  5.248e+08  32.067
SI_1106.2        SI         1106.1947  1.77e-02  4.467e+08  32.067
SI_1106.19       SI         1106.1947  1.17e-03  4.467e+08  32.067
FeII_1106        FeII       1106.3595  3.94e-04  9.120e+07  55.847
VII_1106         VII        1106.4487  7.50e-02  3.236e+08  49.947
VII_1106.6       VII        1106.5706  1.82e-02  3.467e+08  49.947
CI_1109          CI         1109.6331  1.75e-03  3.020e+07  12.011
FeII_1110        FeII       1110.2802  1.65e-04  7.943e+07  55.847
CI_1110          CI         1110.4407  5.85e-03  2.630e+07  12.011
FeII_1110.6      FeII       1110.5829  4.69e-04  2.951e+08  55.847
CI_1111          CI         1111.4203  1.08e-03  1.259e+08  12.011
FeII_1112        FeII       1112.0483  4.46e-03  6.457e+07  55.847
CI_1112          CI         1112.2685  1.06e-02  1.862e+08  12.011
CI_1113          CI         1113.7934  1.15e-03  1.660e+07  12.011
CaII_1114        CaII       1114.0642  3.36e-04  1.738e+06  39.963
CaII_1114.1      CaII       1114.1331  1.68e-04  1.698e+06  39.963
CI_1114          CI         1114.6264  2.45e-03  1.122e+07  12.011
YII_1116         YII        1116.9366  1.45e-04  1.445e+08  88.906
CI_1116          CI         1116.9997  1.56e-03  2.089e+07  12.011
CI_1117          CI         1117.1330  2.57e-03  2.291e+07  12.011
VIII_1117        VIII       1117.8471  1.02e-03  9.772e+08  49.947
CI_1117.9        CI         1117.8651  4.00e-03  1.479e+07  12.011
CI_1117.92       CI         1117.9202  4.60e-03  1.585e+07  12.011
VIII_1121        VIII       1121.1583  2.04e-02  1.202e+09  49.947
CI_1121          CI         1121.4500  8.39e-04  1.862e+07  12.011
CI_1121.5        CI         1121.5196  9.84e-04  2.692e+07  12.011
CI_1121.7        CI         1121.7100  2.24e-04  2.570e+07  12.011
FeII_1121        FeII       1121.9747  2.90e-02  3.631e+08  55.847
CI_1122          CI         1122.4374  5.12e-03  1.905e+07  12.011
CI_1122.5        CI         1122.5183  1.15e-03  1.995e+07  12.011
